"Submission.ID","X1.1.Which.of.the.following.most.closely.matches.your.primary.job.function..","X1.2.How.long.have.you.been.working.in.your.current.company.role.","X1.3.What.is.your.year.of.birth.","Specifying.requirements","Designing.software","Implementing.software","Testing","The.activities.after.release","Other","X2.2..How.much.do.you.agree.with.the.following.statements...I.know.who.uses.the.software.I.contribute.to.in.my.work","X2.2..How.much.do.you.agree.with.the.following.statements...I.need.to.ask.for.permission.to.contact.users","X2.2..How.much.do.you.agree.with.the.following.statements...I.frequently.have.direct.contact.with.users","X2.2..How.much.do.you.agree.with.the.following.statements...I.have.sufficient.information.about.users..needs","X2.2..How.much.do.you.agree.with.the.following.statements...I.have.information.about.users.that.is.relevant.for.my.work","X2.2..How.much.do.you.agree.with.the.following.statements...The.information.I.have.about.users.is.up.to.date","jobfunction","worktime","birthyear","age","useractivities.specifying.requirements","useractivities.designing.software","useractivities.implementing.software","useractivities.testing","useractivities.after.release","useractivities.other","useractivities.options","userinv.S1","userinv.S2","userinv.S3","userinv.S4","userinv.S5","userinv.S6","userinv.statements","userinv.options"
1,5,48,1963,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,5,2,5,3,4,4,"Architecture",48,1963,54,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Specifying requirements",5,2,5,3,4,4,"I know who uses the software I contribute to in my work","Completely disagree"
2,0,60,1968,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,3,1,2,2,3,2,"Developing software",60,1968,49,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"Designing software",3,1,2,2,3,2,"I need to ask for permission to contact users","Disagree"
3,0,21,1980,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,5,2,3,3,4,4,"Developing software",21,1980,37,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"Implementing software",5,2,3,3,4,4,"I frequently have direct contact with users","Neither disagree or agree"
4,6,29,1972,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,5,3,4,4,4,5,"Other",29,1972,45,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"Testing",5,3,4,4,4,5,"I have sufficient information about users’ needs","Agree"
5,4,30,1980,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,1,2,2,2,2,"Operations",30,1980,37,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"The activities after release",3,1,2,2,2,2,"I have information about users that is relevant for my work","Completely agree"
6,0,38,1978,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,4,1,4,2,2,3,"Developing software",38,1978,39,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Other",4,1,4,2,2,3,"The information I have about users is up to date","I don't know"
7,3,33,1978,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,4,4,3,4,3,"Management",33,1978,39,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"Specifying requirements",4,4,4,3,4,3,"I know who uses the software I contribute to in my work","Completely disagree"
8,0,35,1975,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,5,1,4,5,5,5,"Developing software",35,1975,42,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"Designing software",5,1,4,5,5,5,"I need to ask for permission to contact users","Disagree"
9,0,9,1970,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,5,1,5,4,4,4,"Developing software",9,1970,47,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Implementing software",5,1,5,4,4,4,"I frequently have direct contact with users","Neither disagree or agree"
10,1,3,1970,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,3,4,2,1,1,1,"Testing software",3,1970,47,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,"Testing",3,4,2,1,1,1,"I have sufficient information about users’ needs","Agree"
11,2,17,1965,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,5,1,4,4,4,4,"UX Design",17,1965,52,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"The activities after release",5,1,4,4,4,4,"I have information about users that is relevant for my work","Completely agree"
12,0,30,1987,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,1,NA,NA,NA,NA,"Developing software",30,1987,30,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Other",5,1,NA,NA,NA,NA,"The information I have about users is up to date","I don't know"
13,0,17,1981,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,5,4,2,3,4,4,"Developing software",17,1981,36,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"Specifying requirements",5,4,2,3,4,4,"I know who uses the software I contribute to in my work","Completely disagree"
14,0,31,1977,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,3,1,2,NA,3,NA,"Developing software",31,1977,40,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Designing software",3,1,2,NA,3,NA,"I need to ask for permission to contact users","Disagree"
15,6,18,1984,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,4,5,3,2,4,3,"Other",18,1984,33,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Implementing software",4,5,3,2,4,3,"I frequently have direct contact with users","Neither disagree or agree"
16,0,43,1967,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,4,1,2,2,2,"Developing software",43,1967,50,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Testing",2,4,1,2,2,2,"I have sufficient information about users’ needs","Agree"
17,3,1,1958,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,3,2,2,3,3,"Management",1,1958,59,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"The activities after release",4,3,2,2,3,3,"I have information about users that is relevant for my work","Completely agree"
18,6,4,1969,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,5,3,5,5,5,5,"Other",4,1969,48,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"Other",5,3,5,5,5,5,"The information I have about users is up to date","I don't know"
19,0,14,1961,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,5,1,2,2,2,"Developing software",14,1961,56,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Specifying requirements",3,5,1,2,2,2,"I know who uses the software I contribute to in my work","Completely disagree"
20,0,21,1972,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,5,2,5,4,2,4,"Developing software",21,1972,45,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"Designing software",5,2,5,4,2,4,"I need to ask for permission to contact users","Disagree"
21,0,29,1989,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,5,1,5,3,4,3,"Developing software",29,1989,28,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Implementing software",5,1,5,3,4,3,"I frequently have direct contact with users","Neither disagree or agree"
22,0,30,1978,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,2,1,2,4,3,3,"Developing software",30,1978,39,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"Testing",2,1,2,4,3,3,"I have sufficient information about users’ needs","Agree"
23,3,38,1973,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,5,1,2,3,4,4,"Management",38,1973,44,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"The activities after release",5,1,2,3,4,4,"I have information about users that is relevant for my work","Completely agree"
24,0,33,1965,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,4,1,3,4,NA,NA,"Developing software",33,1965,52,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"Other",4,1,3,4,NA,NA,"The information I have about users is up to date","I don't know"
25,0,35,1982,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,4,4,2,3,3,3,"Developing software",35,1982,35,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"Specifying requirements",4,4,2,3,3,3,"I know who uses the software I contribute to in my work","Completely disagree"
26,3,9,1978,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,5,1,4,4,4,4,"Management",9,1978,39,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"Designing software",5,1,4,4,4,4,"I need to ask for permission to contact users","Disagree"
27,0,3,1980,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,5,3,1,2,2,2,"Developing software",3,1980,37,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Implementing software",5,3,1,2,2,2,"I frequently have direct contact with users","Neither disagree or agree"
28,0,17,1977,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,5,4,2,5,4,NA,"Developing software",17,1977,40,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Testing",5,4,2,5,4,NA,"I have sufficient information about users’ needs","Agree"
29,3,30,1986,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,3,2,5,4,4,4,"Management",30,1986,31,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"The activities after release",3,2,5,4,4,4,"I have information about users that is relevant for my work","Completely agree"
30,0,17,1973,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,4,2,4,2,3,3,"Developing software",17,1973,44,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"Other",4,2,4,2,3,3,"The information I have about users is up to date","I don't know"
31,3,31,63,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,4,5,4,4,4,"Management",31,1963,54,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"Specifying requirements",4,4,5,4,4,4,"I know who uses the software I contribute to in my work","Completely disagree"
32,0,18,1973,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1,3,4,NA,"Developing software",18,1973,44,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Designing software",2,1,1,3,4,NA,"I need to ask for permission to contact users","Disagree"
33,0,43,1970,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1,4,5,5,"Developing software",43,1970,47,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Implementing software",2,1,1,4,5,5,"I frequently have direct contact with users","Neither disagree or agree"
34,3,1,1983,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,5,4,4,4,5,4,"Management",1,1983,34,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Testing",5,4,4,4,5,4,"I have sufficient information about users’ needs","Agree"
35,3,4,1977,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,3,4,3,5,3,"Management",4,1977,40,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"The activities after release",4,3,4,3,5,3,"I have information about users that is relevant for my work","Completely agree"
36,0,14,1955,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,4,3,1,3,4,2,"Developing software",14,1955,62,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"Other",4,3,1,3,4,2,"The information I have about users is up to date","I don't know"
37,1,33,1952,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,3,5,4,4,3,"Testing software",33,1952,65,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"Specifying requirements",4,3,5,4,4,3,"I know who uses the software I contribute to in my work","Completely disagree"
38,0,15,1992,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,5,2,2,4,5,2,"Developing software",15,1992,25,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Designing software",5,2,2,4,5,2,"I need to ask for permission to contact users","Disagree"
39,5,28,1971,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,5,1,1,3,5,5,"Architecture",28,1971,46,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Implementing software",5,1,1,3,5,5,"I frequently have direct contact with users","Neither disagree or agree"
40,3,21,1990,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,2,1,3,5,5,1,"Management",21,1990,27,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Testing",2,1,3,5,5,1,"I have sufficient information about users’ needs","Agree"
41,6,29,1993,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,1,3,5,2,"Other",29,1993,24,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"The activities after release",4,1,1,3,5,2,"I have information about users that is relevant for my work","Completely agree"
42,3,30,1970,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,2,2,4,1,4,3,"Management",30,1970,47,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Other",2,2,4,1,4,3,"The information I have about users is up to date","I don't know"
43,4,38,1972,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,5,3,4,2,5,2,"Operations",38,1972,45,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Specifying requirements",5,3,4,2,5,2,"I know who uses the software I contribute to in my work","Completely disagree"
44,3,33,1950,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,3,1,4,1,3,4,"Management",33,1950,67,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Designing software",3,1,4,1,3,4,"I need to ask for permission to contact users","Disagree"
45,3,35,1988,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3,3,5,5,1,5,"Management",35,1988,29,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,"Implementing software",3,3,5,5,1,5,"I frequently have direct contact with users","Neither disagree or agree"
46,4,9,1983,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,5,2,3,4,1,3,"Operations",9,1983,34,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"Testing",5,2,3,4,1,3,"I have sufficient information about users’ needs","Agree"
47,1,3,1975,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,4,4,2,3,2,2,"Testing software",3,1975,42,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"The activities after release",4,4,2,3,2,2,"I have information about users that is relevant for my work","Completely agree"
48,4,17,1985,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,5,1,2,1,2,5,"Operations",17,1985,32,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,"Other",5,1,2,1,2,5,"The information I have about users is up to date","I don't know"
49,1,30,1958,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,2,2,1,1,2,2,"Testing software",30,1958,59,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Specifying requirements",2,2,1,1,2,2,"I know who uses the software I contribute to in my work","Completely disagree"
50,5,17,1966,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5,4,1,2,5,1,"Architecture",17,1966,51,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Designing software",5,4,1,2,5,1,"I need to ask for permission to contact users","Disagree"
